BUY,DIS,119.88,1814
BUY,MCD,218.08,286
BUY,PYPL,261.64,1246
SELL,JNJ,109.67,1443
SELL,WMT,259.06,1320
SELL,IBM,237.6,765
SELL,PYPL,261.01,217
SELL,META,257.1,1222
BUY,ORCL,81.34,1424
BUY,JPM,188.04,75
CANCEL,JPM,10,
SELL,MRK,280.01,170
CANCEL,MRK,2,
BUY,AMZN,147.11,1929
SELL,QCOM,158.46,147
BUY,LOW,271.11,633
SELL,TSLA,277.14,204
SELL,AMZN,146.89,569
BUY,NFLX,84.83,804
SELL,PFE,98.29,776
SELL,LOW,270.8,1026
SELL,ABT,130.11,599
SELL,TSLA,276.96,1161
CANCEL,TSLA,8,
SELL,BAC,279.96,737
CANCEL,BAC,13,
BUY,CRM,297.45,1390
SELL,COST,269.78,336
BUY,MSFT,101.13,1044
SELL,BAC,279.08,1083
SELL,TGT,206.91,1575
BUY,CRM,298.26,542
BUY,CRM,296.99,1547
CANCEL,CRM,5,
SELL,ADBE,242.9,1946
SELL,NFLX,85.08,1657
BUY,PYPL,259.9,633
CANCEL,PYPL,12,
BUY,UBER,103.15,226
BUY,CSCO,270.46,1826
BUY,IBM,237.86,1363
CANCEL,IBM,30,
SELL,LOW,271.85,1823
BUY,MCD,218.27,1925
BUY,MCD,217.24,1529
SELL,VZ,270.76,1546
SELL,ADBE,244.07,74
BUY,DIS,119.73,1903
SELL,UBER,103.56,662
BUY,GOOG,245.01,735
SELL,JNJ,109.78,292
CANCEL,JNJ,35,
SELL,GOOG,244.62,1406
SELL,META,257.49,664
CANCEL,META,11,
SELL,VZ,272.08,1267
BUY,T,256.15,1142
SELL,UNH,259.31,271
BUY,TSLA,277.89,1853
SELL,DIS,120.04,1072
SELL,ORCL,81.72,1998
SELL,TSLA,277.62,749
CANCEL,TSLA,23,
BUY,T,255.2,794
SELL,KO,158.76,345
BUY,NKE,298.11,1697
BUY,UNH,259.59,1337
BUY,PFE,98.14,1328
BUY,AAPL,115.1,543
CANCEL,AAPL,57,
BUY,JPM,188.93,1853
SELL,T,255.07,255
CANCEL,T,16,
BUY,AAPL,115.47,632
SELL,KO,157.97,79
BUY,JPM,188.03,1252
SELL,WMT,260.33,867
SELL,NFLX,84.98,428
BUY,MRK,280.47,1968
BUY,PFE,98.38,1952
SELL,KO,157.31,1476
SELL,MCD,217.93,1407
CANCEL,MCD,36,
SELL,T,254.74,1651
BUY,SBUX,87.05,146
BUY,HD,281.99,1904
SELL,PYPL,259.9,2000
BUY,JPM,188.86,1913
BUY,AVGO,249.91,583
CANCEL,AVGO,43,
SELL,WMT,261.62,191
SELL,COST,268.77,1912
SELL,SBUX,87.15,1616
CANCEL,SBUX,61,
SELL,UBER,103.75,565
BUY,MCD,218.05,382
BUY,AVGO,249.41,1013
BUY,HD,281.41,559
SELL,GOOG,244.35,1854
BUY,META,257.91,703
SELL,TGT,207.77,496
SELL,NKE,298.64,124
SELL,CSCO,270.24,1860
CANCEL,CSCO,47,
SELL,SHOP,152.35,172
BUY,SBUX,86.86,1690
CANCEL,SBUX,82,
BUY,AAPL,115.36,263
BUY,AVGO,249.17,1033
BUY,TSLA,278.51,436
SELL,CRM,296.86,1748
SELL,UBER,103.69,1263
SELL,PEP,101.13,722
BUY,WMT,260.55,96
SELL,AVGO,249.05,1245
BUY,ABT,129.7,1925
SELL,META,258.31,1110
BUY,COST,269.89,776
SELL,ORCL,81.59,104
BUY,AMD,126.83,1414
BUY,UBER,103.95,990
CANCEL,UBER,104,
SELL,PYPL,258.94,1568
BUY,INTC,246.72,1866
SELL,MSFT,101.54,1305
SELL,PFE,98.87,1484
BUY,HD,282.29,1417
CANCEL,HD,102,
SELL,HD,280.97,1330
BUY,COST,269.57,262
BUY,NFLX,84.61,1017
BUY,CSCO,269.1,604
BUY,SBUX,87.0,636
CANCEL,SBUX,56,
BUY,GOOG,245.55,405
BUY,NFLX,84.92,1838
CANCEL,NFLX,1,
BUY,NFLX,85.03,518
CANCEL,NFLX,31,
BUY,NKE,300.07,1759
BUY,MRK,281.21,1822
SELL,ABT,129.76,1305
BUY,ORCL,81.26,1695
BUY,TGT,208.45,1687
CANCEL,TGT,20,
SELL,WMT,261.67,370
BUY,PEP,100.83,761
BUY,MRK,281.78,979
BUY,BAC,278.03,1693
BUY,GOOG,246.62,561
SELL,WMT,260.77,301
BUY,TGT,208.05,111
CANCEL,TGT,45,
SELL,NFLX,84.98,785
SELL,JNJ,109.59,612
BUY,INTC,246.35,1938
BUY,JPM,188.95,307
SELL,NVDA,118.1,787
BUY,QCOM,157.89,1506
BUY,UNH,258.94,1054
BUY,TGT,207.94,836
BUY,SBUX,86.98,1342
BUY,INTC,246.95,1831
BUY,AVGO,248.03,523
SELL,AAPL,115.89,505
BUY,MCD,218.84,1347
SELL,KO,157.15,539
SELL,HD,280.87,689
BUY,META,258.34,633
CANCEL,META,139,
SELL,LOW,271.19,1443
BUY,MSFT,101.98,475
CANCEL,MSFT,112,
SELL,NKE,299.81,785
SELL,HD,281.33,195
BUY,COST,269.58,241
SELL,COST,269.41,280
CANCEL,COST,136,
SELL,MSFT,101.78,204
CANCEL,MSFT,67,
BUY,ADBE,242.86,361
SELL,QCOM,158.64,493
BUY,PYPL,259.63,919
BUY,AVGO,247.44,40
BUY,ORCL,81.46,1181
BUY,JPM,188.29,939
SELL,SBUX,87.31,1812
CANCEL,SBUX,124,
BUY,KO,157.6,325
BUY,KO,158.23,1513
SELL,ORCL,81.12,1334
BUY,T,254.49,1444
SELL,CSCO,268.1,745
SELL,MCD,218.61,1936
SELL,NFLX,85.25,1596
BUY,WMT,260.27,103
BUY,SHOP,152.41,1669
CANCEL,SHOP,22,
SELL,JNJ,109.71,335
SELL,BAC,278.47,546
BUY,PEP,100.38,1924
BUY,ABT,129.71,1818
BUY,HD,280.36,225
BUY,NKE,299.44,1955
SELL,IBM,237.99,1880
SELL,UNH,258.93,1638
SELL,ADBE,243.48,1173
BUY,INTC,247.3,1877
SELL,GOOG,247.24,295
SELL,INTC,248.36,1106
SELL,GOOG,248.27,646
BUY,GOOG,247.51,1982
BUY,PFE,98.56,181
SELL,VZ,270.99,239
BUY,CSCO,267.2,1905
BUY,JNJ,110.18,620
CANCEL,JNJ,154,
BUY,ORCL,81.35,948
BUY,DIS,120.14,1336
BUY,IBM,238.15,1939
SELL,JPM,187.44,414
CANCEL,JPM,168,
SELL,IBM,239.06,1559
SELL,AMZN,146.45,1607
SELL,ABT,129.31,57
SELL,JNJ,109.76,1379
BUY,KO,158.74,1385
BUY,UNH,257.9,770
SELL,UBER,103.6,234
BUY,SHOP,153.17,105
BUY,CSCO,266.97,530
SELL,ORCL,81.68,1529
BUY,NVDA,117.84,23
SELL,JPM,187.12,1990
SELL,TGT,208.21,1020
SELL,QCOM,158.59,1201
SELL,PYPL,258.85,1252
SELL,SHOP,152.41,1233
BUY,TGT,207.9,1458
SELL,UBER,103.83,1257
CANCEL,UBER,190,
SELL,SHOP,151.7,107
CANCEL,SHOP,78,
BUY,MCD,219.43,1570
SELL,DIS,119.66,1322
SELL,INTC,248.48,1523
BUY,TSLA,278.9,1782
SELL,CRM,296.25,97
BUY,PFE,98.7,1051
BUY,SBUX,86.89,1001
SELL,MRK,282.16,1461
CANCEL,MRK,128,
SELL,DIS,119.66,44
CANCEL,DIS,29,
BUY,JNJ,109.3,168
SELL,PEP,100.85,242
BUY,BAC,279.32,786
SELL,UBER,104.27,506
CANCEL,UBER,101,
SELL,SHOP,151.48,1905
BUY,CSCO,266.19,586
SELL,ADBE,244.11,1445
BUY,GOOG,247.34,13
SELL,WMT,260.16,1858
BUY,IBM,239.13,924
SELL,TSLA,279.66,19
BUY,MCD,218.82,868
